X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8570226.11514867,4699587.84453791,Good,,Yes,1,2030,2016,ADA_BusStopPt_2938,mquach,2016/10/18 21:09:07+00,ADA,2024/06/27 20:40:41+00,,{29E8F466-02C4-4738-9AD3-8AC2FC7CC30D},2938
-8570598.22339294,4698966.67709199,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2939,mquach,2016/10/18 21:19:11+00,ADA,2024/06/27 20:40:41+00,,{9415943A-9B70-4E97-9F15-CAFC1266E9AE},2939
-8570892.23979134,4698550.53081275,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2940,mquach,2016/10/18 21:23:36+00,ADA,2024/06/27 20:40:41+00,,{56A00EED-EBA6-4C1D-8EFD-B33C57D5BE6A},2940
-8570960.81057912,4699254.55871462,Fair,,No,1,2030,2016,ADA_BusStopPt_2941,mquach,2016/10/18 21:28:42+00,ADA,2024/06/27 20:40:41+00,,{E40EA185-782B-4D1D-A19D-45641F9BAA5F},2941
-8572242.15915266,4704250.39491261,,,,5,2030,2016,ADA_BusStopPt_2942,mquach,2016/10/19 00:49:28+00,ADA,2024/06/27 20:40:41+00,,{47AC408F-2926-4451-A6BE-753C8CC0EBE8},2942
-8571492.62681272,4714867.14479359,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2943,mquach,2016/10/19 17:38:07+00,ADA,2024/06/27 20:40:41+00,,{CC662B9F-0E0B-4650-92FB-5C64D75E5A64},2943
-8571694.75816691,4714838.04268355,Good,,No,1,2030,2016,ADA_BusStopPt_2944,mquach,2016/10/19 17:40:52+00,ADA,2024/06/27 20:40:41+00,,{B67C9035-A840-475D-BB65-80B232AF251B},2944
-8571720.32429303,4714835.34454601,Fair,,no,1,2030,2016,ADA_BusStopPt_2945,mquach,2016/10/19 17:41:14+00,ADA,2024/06/27 20:40:41+00,,{A127DB8C-84BF-44A8-A34F-767604C78BC3},2945
-8571770.68312033,4714829.51534038,Good,,no,1,2030,2016,ADA_BusStopPt_2946,mquach,2016/10/19 17:42:30+00,ADA,2024/06/27 20:40:41+00,,{617602A5-5563-4E43-8AC7-DD55C57B6622},2946
-8571797.76991924,4714828.40885559,Good,,no,1,2030,2016,ADA_BusStopPt_2947,mquach,2016/10/19 17:43:03+00,ADA,2024/06/27 20:40:41+00,,{FA7A7054-2EC5-4FAD-9A8B-0CE8CD4D04DE},2947
-8571912.11217535,4714827.30604917,Good,,no,1,2030,2016,ADA_BusStopPt_2948,mquach,2016/10/19 17:43:46+00,ADA,2024/06/27 20:40:41+00,,{F1F9A9BE-9405-4984-96AD-170D6BD24F6F},2948
-8569064.53282988,4713923.28548352,Good,,yes,1,2030,2016,ADA_BusStopPt_2949,mquach,2016/10/19 19:16:09+00,ADA,2024/06/27 20:40:41+00,,{02B5F027-4F7C-4835-B51F-BC49C86BFD15},2949
