X,Y,PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8576590.91607415,4708823.68178588,None,,1,2030,2016,ADA_APSPt_6380,hseyedinejad,2016/09/13 18:08:31+00,ADA,2024/06/27 20:42:58+00,,{D489A758-B02C-44B1-B584-B24DF0A3C5F1},6380
-8569610.11352359,4702764.6153485,Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_6381,hseyedinejad,2016/08/25 20:37:56+00,ADA,2024/06/27 20:42:58+00,,{4F02AFF0-1B9B-4017-86BE-C5D01AA7145F},6381
-8575144.53095797,4707907.18713943,None,,1,2030,2016,ADA_APSPt_6382,cwright,2016/09/15 17:51:10+00,ADA,2024/06/27 20:42:58+00,,{2E8AE928-1C36-42B7-A3D5-19C3F26A4E3A},6382
-8572849.27103878,4709048.01312269,None,,1,2030,2016,ADA_APSPt_6383,cwright,2016/08/23 20:27:20+00,ADA,2024/06/27 20:42:58+00,,{0F055809-C08E-4BE4-AD3B-526D277D0B85},6383
-8576613.97830539,4706699.79853738,None,,1,2030,2016,ADA_APSPt_6384,sbennett,2016/09/09 21:41:23+00,ADA,2024/06/27 20:42:58+00,,{42B7A30E-FFEF-494C-92EB-072AC24881AC},6384
-8570286.07072177,4706007.64398529,None,,1,2030,2016,ADA_APSPt_6385,hseyedinejad,2016/08/18 22:40:47+00,ADA,2024/06/27 20:42:58+00,,{18C80221-BFDB-4BC8-B32A-DF4D78A5AF81},6385
-8579731.97254746,4711468.79791962,None,,1,2030,2016,ADA_APSPt_6386,bblowe,2016/08/23 20:49:08+00,ADA,2024/06/27 20:42:58+00,,{109C0050-BFE6-4EDC-A6AA-1659B65E2697},6386
-8573817.66123476,4713362.93152399,None,,1,2030,2016,ADA_APSPt_6387,sbennett,2016/08/17 21:54:27+00,ADA,2024/06/27 20:42:58+00,,{D4730CC4-32A7-4B7F-B59F-01658E18C894},6387
-8573398.22263646,4717706.41647888,None,,1,2030,2016,ADA_APSPt_6388,mkeke,2016/08/17 02:32:50+00,ADA,2024/06/27 20:42:58+00,,{F0BD8333-3D2A-4B7D-B837-16DBDA618B15},6388
-8575458.99349406,4709359.01847172,None,,1,2030,2016,ADA_APSPt_6389,,,ADA,2024/06/27 20:42:58+00,,{C116DBC9-93EA-44CC-8219-5BD65EF8EFBE},6389
-8574859.14776348,4708823.97138465,None,,1,2030,2016,ADA_APSPt_6390,,,ADA,2024/06/27 20:42:58+00,,{80319D23-BABF-494B-9F4F-7F2B064F5A29},6390
-8576874.7540539,4709173.01454872,None,,1,2030,2016,ADA_APSPt_6391,hseyedinejad,2016/09/13 19:23:41+00,ADA,2024/06/27 20:42:58+00,,{00DF720F-6D89-45B2-AB81-F9BD5AFE8462},6391
-8570003.48381682,4705910.41521133,None,,1,2030,2016,ADA_APSPt_6392,hseyedinejad,2016/08/19 21:12:05+00,ADA,2024/06/27 20:42:58+00,,{26B54310-88E8-419B-B650-C831896A0212},6392
-8571657.68446695,4704019.02102679,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6393,,,ADA,2024/06/27 20:42:58+00,,{F6C20340-0D5C-474A-8EFC-D9284133F6D1},6393
-8573159.29210337,4703963.42656879,None,,1,2030,2016,ADA_APSPt_6394,,,ADA,2024/06/27 20:42:58+00,,{FBFDA844-3C23-4951-9A76-22887714377A},6394
-8576056.23330674,4709939.25973996,None,,1,2030,2016,ADA_APSPt_6395,,,ADA,2024/06/27 20:42:58+00,,{384F9C1A-C41B-48BC-AE80-81C9619C03F4},6395
-8564619.88304453,4705871.09969924,None,,1,2030,2016,ADA_APSPt_6396,,,ADA,2024/06/27 20:42:58+00,,{AF59ED65-8E1A-493E-8BF8-AEC76A7C486F},6396
-8566446.07245052,4702325.44864095,None,,1,2030,2016,ADA_APSPt_6397,cwright,2016/08/30 16:09:02+00,ADA,2024/06/27 20:42:58+00,,{98FDBABE-2A59-4619-985C-FC3F58873A15},6397
-8566922.57023886,4700910.05669408,Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_6398,cwright,2016/09/01 23:42:28+00,ADA,2024/06/27 20:42:58+00,,{CABF9442-EC85-4A86-AC29-18BAFA0AD77A},6398
-8571031.32561045,4707560.09739335,None,,1,2030,2016,ADA_APSPt_6399,bblowe,2016/08/19 06:10:06+00,ADA,2024/06/27 20:42:58+00,,{BA8A2720-4E28-47C3-A326-AC417A45D850},6399
-8574429.8770526,4712369.22934083,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6400,,,ADA,2024/06/27 20:42:58+00,,{F113D43E-EBE9-4BBC-A485-FE29A9D0F753},6400
-8571316.79940815,4716186.0668316,None,,1,2030,2016,ADA_APSPt_6401,mkeke,2016/08/11 16:27:06+00,ADA,2024/06/27 20:42:58+00,,{C2AF7B0B-FD67-4E22-95E4-423F52913AC1},6401
-8568490.64043777,4711011.68642822,None,,1,2030,2016,ADA_APSPt_6402,cwright,2016/08/15 20:45:10+00,ADA,2024/06/27 20:42:58+00,,{7D5C84C3-801D-4273-ABD8-27671406706D},6402
-8576453.04853464,4709631.70664812,None,,1,2030,2016,ADA_APSPt_6403,hseyedinejad,2016/09/13 20:25:02+00,ADA,2024/06/27 20:42:58+00,,{50A9C3C9-DEC1-4F01-A9F7-22703E99095A},6403
-8573011.4764873,4707373.02317347,None,,1,2030,2016,ADA_APSPt_6404,hseyedinejad,2016/08/12 00:38:43+00,ADA,2024/06/27 20:42:58+00,,{A3D7D6E6-12D0-43BF-9B76-FCFDF79AF244},6404
-8569282.14051355,4710199.20123654,None,,1,2030,2016,ADA_APSPt_6405,cwright,2016/08/17 19:22:27+00,ADA,2024/06/27 20:42:58+00,,{344B9205-4A6B-49FF-92DC-7A3C35811E9A},6405
-8566889.82604715,4711733.7003897,None,,1,2030,2016,ADA_APSPt_6406,jmohammad,2016/08/18 22:23:32+00,ADA,2024/06/27 20:42:58+00,,{CCFD7602-3BBE-4ACA-ABB6-5D9159020350},6406
-8569749.65704555,4707407.3605627,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6407,jmohammad,2016/08/18 15:16:47+00,ADA,2024/06/27 20:42:58+00,,{F691C583-B6E5-42E3-8186-F85BD2BF4FC7},6407
-8574631.88669857,4708592.32583016,None,,1,2030,2016,ADA_APSPt_6408,bblowe,2016/08/12 20:37:01+00,ADA,2024/06/27 20:42:58+00,,{0ECCC924-5B39-4EE5-ADAF-82AC1FEA7BC4},6408
-8570287.05061196,4705771.7689261,None,,1,2030,2016,ADA_APSPt_6409,dwilkins,2016/08/15 22:48:30+00,ADA,2024/06/27 20:42:58+00,,{77E2AC3D-77B8-4668-951F-590236A1FB9E},6409
-8575356.10363024,4707366.96552501,None,,1,2030,2016,ADA_APSPt_6410,dwilkins,2016/09/13 09:17:16+00,ADA,2024/06/27 20:42:58+00,,{E2011586-2176-4AF6-9C71-CF6082BE6341},6410
-8570860.41597485,4698318.76556663,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6411,dwilkins,2016/08/05 23:21:47+00,ADA,2024/06/27 20:42:58+00,,{168E568C-62EA-4FFB-ACB0-D0F98C53FFDC},6411
-8579695.15681858,4715197.66555694,None,,1,2030,2016,ADA_APSPt_6412,mquach,2016/07/25 23:40:07+00,ADA,2024/06/27 20:42:58+00,,{1B9867CD-82AB-4991-872B-CBFE7AF67490},6412
-8579584.84416054,4715173.80140769,None,,1,2030,2016,ADA_APSPt_6413,mquach,2016/07/12 22:25:54+00,ADA,2024/06/27 20:42:58+00,,{67BADA74-BD43-47FF-826A-43CBE89ECBAD},6413
-8573774.3594829,4711454.19964783,None,,1,2030,2016,ADA_APSPt_6414,sbennett,2016/08/16 20:25:23+00,ADA,2024/06/27 20:42:58+00,,{50E5A8B4-2EBF-4E1D-AC6A-B026A874E3FB},6414
-8574627.62290454,4708957.09467483,None,,1,2030,2016,ADA_APSPt_6415,,,ADA,2024/06/27 20:42:58+00,,{FF2AA598-AEAD-4FAC-AAAF-19564E8818A4},6415
-8567560.5144242,4712395.42599204,Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_6416,cwright,2016/08/10 21:57:00+00,ADA,2024/06/27 20:42:58+00,,{3C8855CD-6238-412E-9699-863E2B22E0B8},6416
-8576181.89099086,4711979.2151288,None,,1,2030,2016,ADA_APSPt_6417,cwright,2016/08/09 16:06:50+00,ADA,2024/06/27 20:42:58+00,,{F3A5C330-79C6-416D-9234-4AA0B6A762DE},6417
-8574575.7810329,4713955.86163913,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6418,,,ADA,2024/06/27 20:42:58+00,,{600A0C23-E75E-4C69-940D-C8965C668C1B},6418
